video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=FHhkjsT6N-o&pp=ygUEZ2F6YQ%3D%3D,/@newshubnz,Newshub,"Death toll in Gaza reaches 25,000 as Hamas breaks silence over October 7 attack | Newshub",2.3K,13 hours,"Hamas has spoken for the first time about why it carried out the terror attack of October, in which well over a thousand Israeli ...",2024-01-22 18:51:48.779510
/watch?v=j4ePNi1_52w&pp=ygUEZ2F6YQ%3D%3D,/@KingsandGenerals,Kings and Generals,Israel invades South Gaza - War Continues - Kings and Generals DOCUMENTARY,258K,1 day,Kings and Generals animated historical documentary series on Modern Affairs continues with a video on the continuation of the ...,2024-01-22 18:51:56.487447
/watch?v=OqrTl18rbhA&pp=ygUEZ2F6YQ%3D%3D,/@TheTimes,The Times and The Sunday Times,Hamas video of fierce fighting contradicts Israel's Gaza claim,5.5K,3 hours,Israeli forces are still facing fierce resistance in northern Gaza despite having claimed to be able to wind down operations in the ...,2024-01-22 18:51:56.491952
/watch?v=D_G8x-wSdKg&pp=ygUEZ2F6YQ%3D%3D,/@OnDemandNews,On Demand News,Israeli Parliament Stormed by Families of Gaza Hostages,2.4K,2 hours,This is the moment relatives of Israeli hostages held in Gaza stormed into a government meeting in Jerusalem. The group ...,2024-01-22 18:51:56.494605
/watch?v=hicqR8l0Qec&pp=ygUEZ2F6YQ%3D%3D,/@abcnewsaustralia,ABC News (Australia),Life in Gaza through the eyes of a 12-year-old girl | ABC News,2.3K,20 hours,ABC Middle East Correspondent Allyson Horn follows Hiba Abu Sadeq in her daily fight for survival in the world's 'most dangerous ...,2024-01-22 18:51:56.504099
/watch?v=_eOswqaz0i8&pp=ygUEZ2F6YQ%3D%3D,/@aljazeeraenglish,Al Jazeera English,Gaza residents plead for global aid amid hunger crisis,15K,13 hours,"Palestinians in Gaza are urging the world to save them from dying of hunger. Despite Israel's restrictions on aid deliveries, local ...",2024-01-22 18:51:56.511860
/watch?v=yVbkw2wisuY&pp=ygUEZ2F6YQ%3D%3D,/@livenowfox,LiveNOW from FOX,Israel-Hamas war: IDF works to dismantle systems of tunnels under Gaza | LiveNOW from FOX,123K,19 hours,"To discuss the latest developments in the Israel-Hamas war, UCI Assistant Professor and Israel Institute Fellow Dr. Alon Burstein ...",2024-01-22 18:51:56.517456
/watch?v=rdEDe83r4Ac&pp=ygUEZ2F6YQ%3D%3D,/@livenowfox,LiveNOW from FOX,Israel-Hamas war: ‘Terror Dungeon’ found under Gaza amid war with terrorists | LiveNOW from FOX,87K,1 day,"The Israel Defense Forces has released photos it says shows the ""Hamas Terror Dungeons"" underneath Gaza, where some ...",2024-01-22 18:51:56.520949
/watch?v=psobIbzZFTQ&pp=ygUEZ2F6YQ%3D%3D,/@Channel4News,Channel 4 News,Israel-Gaza: fears hostilities could spread across Middle East as UN chief calls for ceasefire,125K,1 day,"""The Middle East is a tinderbox"" the United Nations chief Antonio Gutteres warned today - amid mounting fears that the war in ...",2024-01-22 18:51:56.525738
/watch?v=Ifg5q2Vvvqc&pp=ygUEZ2F6YQ%3D%3D,/@MiddleEastEye,Middle East Eye,Doctor who spent two weeks in Gaza hospital describes the scenes she saw,17K,8 hours,"Actually, what I overwhelmingly saw was children.” Dr Deborah Harrington, who spent two weeks in Gaza's Al-Aqsa Hospital, ...",2024-01-22 18:51:56.530712
/watch?v=4n5fjslB3XY&pp=ygUEZ2F6YQ%3D%3D,/@SkyNews,Sky News,The Israeli teenager jailed for refusing to serve over Gaza conflict | Israel-Hamas war,3.4K,4 hours,"An 18-year-old Israeli man, who was jailed for refusing to serve in the Israeli military, has told Sky News he is prepared to go to ...",2024-01-22 18:51:56.535909
/watch?v=NYhy7txLoNY&pp=ygUEZ2F6YQ%3D%3D,/@TBNIsrael,TBN Israel,UPDATE: In-Depth Analysis of Gaza as Israel-Hamas War Reaches 100+ Days | TBN Israel,231K,2 days,"TBN Israel's Yair Pinto reports on the Israel-Hamas War. Join Yair, as he provides a fully detailed, in-depth analysis on the current ...",2024-01-22 18:51:56.537686
/shorts/xI5GoPhvQ7o,/@ajplus,AJ+,This miracle baby was pulled from a bombed house in #Gaza,7.6M,1 month,Subscribe for more videos: https://ajplus.co/subscribe Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on ...,2024-01-22 18:51:56.539580
/watch?v=Hc6iW8cDK3g&pp=ygUEZ2F6YQ%3D%3D,/@WTKR3,WTKR News 3,"Palestinian death toll in Gaza surpasses 25,000 with no end in sight",77K,22 hours,"The Palestinian death toll from the war between Israel and Hamas has soared past 25000, the Health Ministry in the Gaza Strip ...",2024-01-22 18:51:56.545785
/shorts/aGPk3a1Qv3E,/@trtworld,TRT World,Gaza doctor forced to amputate daughter’s leg without anaesthesia,490K,5 days,My daughter; I am amputating her leg without anaesthesia.” A Palestinian doctor named Hani Bseiso was forced to amputate the ...,2024-01-22 18:51:56.547688
/watch?v=pOjMaHmhSko&pp=ygUEZ2F6YQ%3D%3D,/@aljazeeraenglish,Al Jazeera English,Israel approves plan to transfer Gaza tax funds to Norway,35K,14 hours,Israel has decided to release a part of the funds it owes to the Palestinian Authority (PA). It's part of taxes that Israel collects on ...,2024-01-22 18:51:56.550865
/watch?v=gY-hxrN-TTQ&pp=ygUEZ2F6YQ%3D%3D,/@NBCNews,NBC News,"Baby Tala, rescued from rubble in Gaza weeks ago, has died",6K,1 day,"Just weeks ago, a baby named Tala was saved from the rubble in Gaza along with her father after an airstrike that killed her ...",2024-01-22 18:51:56.553395
/watch?v=gDekZOkGmiY&pp=ygUEZ2F6YQ%3D%3D,/@ABCNews,ABC News,Death toll in Gaza rises,17K,16 hours,"The death toll is now over 25000, according to the Hamas-run Gaza Ministry of Health.",2024-01-22 18:52:03.611515
/watch?v=Da6ynnw-vpk&pp=ygUEZ2F6YQ%3D%3D,/@CBSMornings,CBS Mornings,CBS News team has close call in Gaza as fierce fighting continues,1.3K,4 hours,"CBS News producer Marwar al-Ghoul, who lives in Gaza and has been covering the Israel-Hamas war since it started, had a ...",2024-01-22 18:52:03.614003
/watch?v=wuGPGCZTums&pp=ygUEZ2F6YQ%3D%3D,/@GDFofficial,GDF,10 Questions for Gaza Genocide Deniers,35K,2 days,I NEED YOUR HELP! - PATREON: https://patreon.com/gdfofficial CASHAPP: https://cash.app/$gdfofficial PAYPAL: ...,2024-01-22 18:52:03.620624
/watch?v=7PQ5MzwQy08&pp=ygUEZ2F6YQ%3D%3D,/@fox5dc,FOX 5 Washington DC,Loudoun County nurse heading to Gaza to help victims wounded in Israel-Hamas War,916,15 hours,"No longer willing to sit by as lives are lost in the war between Israel and Hamas, a Northern Virginia nurse is embarked on a ...",2024-01-22 18:52:03.628766
