video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=kw7KxyOSzfU&pp=ygUGaXNyYWVs,/@livenowfox,LiveNOW from FOX,Israel-Hamas war Israeli airstrike kills 4 Iranian military advisers in Syria | LiveNOW from FOX,觀看次數：68萬次,10 小時前,An Israeli airstrike on the Syrian capital killed at least 4 Iranian advisers. State media says Israeli forces targeted a building used ...,2024-01-21 02:12:16.023955
/watch?v=p3fZFK08aRc&pp=ygUGaXNyYWVs,/@IsraelMyChannel,Israel MyChannel,ISRAEL ALMOST WON IN GAZA! UPDATE (JAN 20TH),觀看次數：10萬次,9 小時前,EPISODE WITH MAPS: https://youtu.be/8nePDWGiUoA PATREON PAGE: https://www.patreon.com/Izraelmojachwala PayPal: ...,2024-01-21 02:12:16.025944
/watch?v=flG_YK0uihU&pp=ygUGaXNyYWVs,/@TBNIsrael,TBN Israel,BREAKING: IDF HUNTING For Hamas Leader Yahya Sinwar; CLASHES W/ Terrorists In West Bank | TBN Israel,觀看次數：44萬次,1 天前,TBN Israel's Yair Pinto reports on the Israel-Hamas War. Pinto reports on the obstacles the IDF faces in hunting down Hamas ...,2024-01-21 02:12:16.029729
/watch?v=6AkMRcg_tPs&pp=ygUGaXNyYWVs,/@msnbc,MSNBC,Iran accuses Israel of Syria strike that killed five military advisers,觀看次數：6.5萬次,3 小時前,Iran is accusing Israel of launching an airstrike in Syria that killed at least five members of Iran's Islamic Revolutionary Guard ...,2024-01-21 02:12:16.032197
/watch?v=SCHr564LI98&pp=ygUGaXNyYWVs,/@Channel4News,Channel 4 News,Israel-Gaza: Deadly Syria airstrike heightens Middle-East tensions while fighting continues in Gaza,觀看次數：9.8萬次,7 小時前,Five senior members of Iran's paramilitary Revolutionary Guard have been killed in an airstrike in the Syrian capital Damascus.,2024-01-21 02:12:16.034587
/watch?v=5qDpFmWhSHI&pp=ygUGaXNyYWVs,/@livenowfox,LiveNOW from FOX,Israel-Hamas war: Iran tensions escalate after Syria strike amid fighting in Gaza | LiveNOW from FOX,觀看次數：1.3萬次,1 小時前,A fifth Iranian military adviser has been killed following an Israeli airstrike in Syria. National security analyst and retired Marine ...,2024-01-21 02:12:16.037386
/watch?v=Z2BDzETR_o8&pp=ygUGaXNyYWVs,/@SkyNewsAustralia,Sky News Australia,Iran blames Israel for drone strike on Syria’s capital,觀看次數：1.4萬次,6 小時前,At least six people have been killed in two major military strikes allegedly carried out by Israel across the Middle East. Iran is ...,2024-01-21 02:12:16.040056
/watch?v=ReGDu_tp93U&pp=ygUGaXNyYWVs,/@CBNnewsonline,CBN News,LIVE: Hostages or Hamas - Israel's Dilemma,觀看次數：5.2萬次,直播時間：6 小時前,CBN News. Because Truth Matters™ Download the free CBN News App: http://cbnnews.com/app SUBSCRIBE to the CBN News ...,2024-01-21 02:12:16.042595
/watch?v=m19F4IHTVGc&pp=ygUGaXNyYWVs,/@historyonmaps,History on Maps,History of Israel-Palestine Conflict,觀看次數：1265萬次,2 年前,This video presents the History of Israel-Palestine conflict that rooted a few thousand years ago. Chapter: 00:00 Introduction 00:42 ...,2024-01-21 02:12:16.046182
/watch?v=HRs8x6UvvqI&pp=ygUGaXNyYWVs,/@aljazeeraenglish,Al Jazeera English,The world’s reaction to Israel’s ICJ case for war on Gaza | The Listening Post,觀看次數：27萬次,14 小時前,"The ICJ hearings have drawn scorn as well as shock from Israel's media punditry. In the West, however, the case has emboldened ...",2024-01-21 02:12:16.050717
/watch?v=RfFEkxvAhiE&pp=ygUGaXNyYWVs,/@CNN,CNN,CNN witnessed first-hand results of Israel's bulldozing of graveyards in Gaza,觀看次數：21萬次,1 天前,CNN correspondent Jeremy Diamond shows the damage left to cemeteries in Gaza after Israeli forces bulldozed and uprooted ...,2024-01-21 02:12:22.749906
/watch?v=yFliNgw2Jyk&pp=ygUGaXNyYWVs,/@ABCNews,ABC News,Former Israeli hostage opens up about his time in captivity,觀看次數：5775次,1 天前,Yagil Yaacov spoke about his terrifying ordeal while he was held hostage for 30 days. WATCH FULL EPISODES OF WORLD ...,2024-01-21 02:12:22.753265
/watch?v=xOTQVwqOOLU&pp=ygUGaXNyYWVs,/@livenowfox,LiveNOW from FOX,Israel-Hamas war: Israeli PM Netanyahu opposes Palestinian state after Gaza war | LiveNOW from FOX,觀看次數：8.2萬次,2 天前,Israel-Hamas war update: Prime Minister Benjamin Netanyahu rejected U.S. calls to scale back Israel's military offensive in the ...,2024-01-21 02:12:22.758292
/watch?v=s3LZ1xXYTlI&pp=ygUGaXNyYWVs,/@stefhoffer,Stef Hoffer,Journey Through Israel - Travel Documentary,觀看次數：460萬次,1 年前,"Israel means a lot of different things to many people, and is one of the most diverse and dynamic countries in the world.",2024-01-21 02:12:22.762391
/shorts/c5tWYj_Y60w,/@CNN,CNN,Gaza towers collapse after explosion,觀看次數：374萬次,3 個月前,"Two towers in Gaza City, which host media offices and residential apartments, collapsed after they were hit by an airstrike.",2024-01-21 02:12:22.765201
/watch?v=ODSo9djGTlY&pp=ygUGaXNyYWVs,/@telegraph,The Telegraph,Israeli strike kills Iranian military advisers in Syria,觀看次數：5.1萬次,14 小時前,"An Israeli air strike on Damascus on Saturday killed four members of Iran's Islamic Revolutionary Guard Corps, including a senior ...",2024-01-21 02:12:22.768229
/watch?v=2HB28upv2rM&pp=ygUGaXNyYWVs,/@aljazeeraenglish,Al Jazeera English,Can international justice stop Israel? | Inside Story,觀看次數：6.2萬次,8 小時前,It's been more than three months since Israel launched its devastating war on Gaza. Nearly 25-thousand Palestinians have now ...,2024-01-21 02:12:22.772435
/watch?v=Xvszq05GL5w&pp=ygUGaXNyYWVs,/@guardiannews,Guardian News,Israeli PM Benjamin Netanyahu says he opposes Palestinian state,觀看次數：8.2萬次,2 天前,"Israel's prime minister, Benjamin Netanyahu, has said Israel would need 'full security control' over all Palestinian territories after it ...",2024-01-21 02:12:22.775780
/watch?v=Nr8pchXhIGg&pp=ygUGaXNyYWVs,/@TBNIsrael,TBN Israel,BREAKING: IDF ELIMINATES West Bank Terrorist Leader; DESTROYS Strategic Hamas Tunnels | TBN Israel,觀看次數：42萬次,2 天前,"TBN Israel's Yair Pinto reports on the Israel-Hamas War. Pinto shares insight into the elite IDF commando brigade, the Duvdevan ...",2024-01-21 02:12:22.778701
/watch?v=inoTTlFoYnk&pp=ygUGaXNyYWVs,/@WawamuStats,WawamuStats,The Recognition of Israel Since 1948,觀看次數：51萬次,1 年前,The video shows the recognition of the state of Israel when it was formally established by the Israeli Declaration of Independence ...,2024-01-21 02:12:31.932111
/shorts/uRmSZuvdwBs,/@BeerBiceps,BeerBiceps,How Did Israel - Hamas War Begin? Abhijit Iyer-Mitra Reveals #shorts,觀看次數：48萬次,1 個月前,"-- In this very special episode of The Ranveer Show, we welcome Abhijit Iyer-Mitra as our guest. He is someone who discusses ...",2024-01-21 02:12:31.940399
/watch?v=8uq-c6J02ro&pp=ygUGaXNyYWVs,/@criminalsandcrimefighters,criminals and crime fighters,Mossad: Secret Service of Israel | Ep 1 | Full Documentary,觀看次數：257萬次,1 年前,"Have you ever heard the name Mossad in your life? If not, the Israeli Secret Service Mossad has done a good job. Mossad is one ...",2024-01-21 02:12:31.944241
/watch?v=V1bFr2SWP1I&pp=ygUGaXNyYWVs,/@mountainapplecompany,Mountain Apple Company Inc,"OFFICIAL Somewhere over the Rainbow - Israel ""IZ"" Kamakawiwoʻole",觀看次數：13億次,13 年前,"CELEBRATING 1 BILLION VIEWS AND COUNTING! Subscribe for more IZ! Hear never before heard Isolated Vocals from ""Over ...",2024-01-21 02:12:31.950199
/watch?v=OAwBQ6_Nq7s&pp=ygUGaXNyYWVs,/@HT-Videos,Hindustan Times,IDF Chief Warns Netanyahu As Israel Army Death Toll Tops 189 In Gaza | 'Soldiers Dying Due To...',觀看次數：9.6萬次,4 天前,One more soldier has died fighting the militants from Hamas' armed wing in the Gaza strip. This raised the death toll of Israeli ...,2024-01-21 02:12:31.957736
